sid,block_type,unitx,trial_type,frequency_type,rt.med,rt.mean,n,correctn,acc
sub101,learning,L01,random,high,504.611999996996,492.497999998886,18,18,1
sub101,learning,L01,random,low,458.284099999219,464.261616666287,8,8,1
sub101,learning,L01,regular,high,456.776750001154,455.989738888699,38,38,1
sub101,learning,L02,random,high,552.109350002866,574.592309090804,14,14,1
sub101,learning,L02,random,low,563.413600000786,542.414318180156,11,11,1
sub101,learning,L02,regular,high,522.738800000298,531.07835052064,38,38,1
sub101,learning,L03,random,high,501.539749999211,514.486949998779,19,19,1
sub101,learning,L03,random,low,487.328199997137,514.124073077535,14,14,1
sub101,learning,L03,regular,high,479.930300003616,497.025252776883,39,39,1
sub101,learning,L04,random,high,518.787949997204,566.539070832732,15,15,1
sub101,learning,L04,random,low,488.457300001755,521.241244445668,10,10,1
sub101,learning,L04,regular,high,480.506349998905,514.268379998854,39,39,1
sub101,learning,L05,random,high,498.533300000418,526.589262499329,13,13,1
sub101,learning,L05,random,low,495.548825003425,527.047006251905,10,10,1
sub101,learning,L05,regular,high,478.206575000513,488.635929375118,39,39,1
sub101,learning,L06,random,high,519.935749998695,553.225414999542,12,12,1
sub101,learning,L06,random,low,449.427299998206,456.708279999293,10,10,1
sub101,learning,L06,regular,high,374.108649997652,356.714466555325,34,34,1
sub101,learning,L07,random,high,445.555599995714,449.777318182235,17,17,1
sub101,learning,L07,random,low,463.568600003782,501.787380001042,6,6,1
sub101,learning,L07,regular,high,422.484049999184,400.265738021479,38,38,1
sub101,learning,L08,random,high,420.216299993626,443.924454544189,11,11,1
sub101,learning,L08,random,low,450.336299996707,447.70623846265,16,16,1
sub101,learning,L08,regular,high,292.624649999198,322.064890554611,29,29,1
sub101,learning,L09,random,high,498.101700002735,479.611348484909,14,14,1
sub101,learning,L09,random,low,467.652100000123,455.847409092133,12,12,1
sub101,learning,L09,regular,high,410.034249998716,406.556458854235,31,31,1
sub101,learning,L10,random,high,455.754000002344,474.407221212239,16,16,1
sub101,learning,L10,random,low,463.182950003102,474.045374999757,15,15,1
sub101,learning,L10,regular,high,312.127099998179,309.651282221603,31,31,1
sub101,learning,L11,random,high,454.13489999919,463.921027777764,17,17,1
sub101,learning,L11,random,low,453.174299997045,454.544880001049,6,6,1
sub101,learning,L11,regular,high,359.839925000415,328.670544047175,32,32,1
sub101,learning,L12,random,high,455.188499996439,449.884761111914,12,12,1
sub101,learning,L12,random,low,485.473550004826,484.664563332869,18,18,1
sub101,learning,L12,regular,high,413.632149997284,396.978611190588,34,34,1
sub101,learning,L13,random,high,428.889499999059,452.515599998878,15,15,1
sub101,learning,L13,random,low,465.176699995936,456.366114815157,12,12,1
sub101,learning,L13,regular,high,442.24634999955,426.75403593671,37,37,1
sub101,learning,L14,random,high,414.80437500104,434.144250001555,13,13,1
sub101,learning,L14,random,low,431.170600000769,432.65296249956,17,17,1
sub101,learning,L14,regular,high,416.097950001131,413.123087499609,37,37,1
sub101,learning,L15,random,high,434.056749996671,437.958509998862,10,10,1
sub101,learning,L15,random,low,446.980950004217,453.144484375571,17,17,1
sub101,learning,L15,regular,high,433.918899998389,422.776470555861,38,38,1
sub101,learning,L16,random,high,456.940949999989,458.672005553934,15,15,1
sub101,learning,L16,random,low,478.647150001052,500.244850000672,14,14,1
sub101,learning,L16,regular,high,422.622250000131,437.202734270962,38,38,1
sub101,learning,L17,random,high,470.459399999527,467.213042308196,16,16,1
sub101,learning,L17,random,low,475.330900000699,474.224057142627,9,9,1
sub101,learning,L17,regular,high,415.443500001857,410.916980834387,38,38,1
sub101,learning,L18,random,high,520.902299998852,519.839639744206,17,17,1
sub101,learning,L18,random,low,511.278900001344,521.382379999704,10,10,1
sub101,learning,L18,regular,high,406.259700001101,415.533468125947,38,38,1
sub101,learning,L19,random,high,487.737949999428,467.520772222997,18,18,1
sub101,learning,L19,random,low,518.816499999957,564.132766665959,10,10,1
sub101,learning,L19,regular,high,430.579050000233,415.284318888573,36,36,1
sub101,learning,L20,random,high,417.999199999031,445.223111364061,18,18,1
sub101,learning,L20,random,low,456.518800003323,481.948225000451,12,12,1
sub101,learning,L20,regular,high,421.903250000469,414.175432692663,37,37,1
sub101,testing,T01,random,high,416.535600001225,433.365949998216,16,16,1
sub101,testing,T01,random,low,413.852900001075,422.749734998797,12,12,1
sub101,testing,T01,regular,high,399.681300001248,403.782641110649,36,36,1
sub101,testing,T02,random,high,396.189449995291,401.505970832735,22,22,1
sub101,testing,T02,random,low,379.356600002211,425.789800001237,10,10,1
sub101,testing,T02,regular,high,362.059450002562,338.353821875406,37,37,1
sub101,testing,T03,random,high,422.579799997038,425.663203846992,16,16,1
sub101,testing,T03,random,low,371.897899996839,378.098656250131,9,9,1
sub101,testing,T03,regular,high,342.383400002291,330.005699999788,37,37,1
sub101,testing,T04,random,high,395.817749998969,418.913264285688,18,18,1
sub101,testing,T04,random,low,368.276900000637,372.06495769323,14,14,1
sub101,testing,T04,regular,high,360.015550000753,356.868494271074,38,38,1
sub101,testing,T05,random,high,387.805400001525,392.324141111264,20,20,1
sub101,testing,T05,random,low,380.810400001792,381.856733334037,7,7,1
sub101,testing,T05,regular,high,352.437849996932,347.82032510487,36,36,1
sub102,learning,L01,random,high,602.688225000293,577.266941666524,17,17,1
sub102,learning,L01,random,low,663.575000000492,641.165266666677,13,13,1
sub102,learning,L01,regular,high,441.473899998528,482.4707987777,38,38,1
sub102,learning,L02,random,high,549.346499999956,561.084883333206,17,17,1
sub102,learning,L02,random,low,572.644199999559,593.253043749769,9,9,1
sub102,learning,L02,regular,high,370.635649999713,394.137736905025,34,34,1
sub102,learning,L03,random,high,502.208600000813,519.850020833398,15,15,1
sub102,learning,L03,random,low,500.001999998858,519.634837036695,13,13,1
sub102,learning,L03,regular,high,500.446000000011,458.59009166654,38,38,1
sub102,learning,L04,random,high,536.239949999981,544.100233125118,23,23,1
sub102,learning,L04,random,low,520.14120000058,563.828580000154,8,8,1
sub102,learning,L04,regular,high,352.032100001452,364.024958589646,34,34,1
sub102,learning,L05,random,high,487.393999999767,516.129929999988,17,17,1
sub102,learning,L05,random,low,520.321349999904,526.815506249818,9,9,1
sub102,learning,L05,regular,high,360.614324999915,372.422798437573,38,38,1
sub102,learning,L06,random,high,441.075200000341,463.609706250281,16,16,1
sub102,learning,L06,random,low,495.441750000282,502.237149999587,11,11,1
sub102,learning,L06,regular,high,280.135725000946,296.262899479425,36,36,1
sub102,learning,L07,random,high,490.813399999752,481.742057575668,19,19,1
sub102,learning,L07,random,low,480.181574999733,492.315483333641,9,9,1
sub102,learning,L07,regular,high,341.475749999518,353.278310256451,39,39,1
sub102,learning,L08,random,high,494.779699999526,488.500317857058,21,21,1
sub102,learning,L08,random,low,422.161149999738,468.357981249937,9,9,1
sub102,learning,L08,regular,high,261.755499999708,275.963574166876,38,38,1
sub102,learning,L09,random,high,461.065100000269,501.66246538426,20,20,1
sub102,learning,L09,random,low,438.916199998857,461.284392856864,8,8,1
sub102,learning,L09,regular,high,214.573700000983,245.752460111249,37,37,1
sub102,learning,L10,random,high,461.476174999916,486.583908333362,17,17,1
sub102,learning,L10,random,low,443.039600000702,466.281254545141,11,11,1
sub102,learning,L10,regular,high,218.297200000052,238.281932222122,36,36,1
sub102,learning,L11,random,high,556.436099999701,566.409849999738,14,14,1
sub102,learning,L11,random,low,562.809099999868,568.592900000112,14,14,1
sub102,learning,L11,regular,high,391.70647499941,351.836761458164,35,35,1
sub102,learning,L12,random,high,516.807550000522,534.480891666798,21,21,1
sub102,learning,L12,random,low,530.78209999876,547.906340000554,7,7,1
sub102,learning,L12,regular,high,265.724300000329,273.557120118888,35,35,1
sub102,learning,L13,random,high,480.32830000011,508.765595555653,21,21,1
sub102,learning,L13,random,low,489.536924998902,515.700334999565,11,11,1
sub102,learning,L13,regular,high,246.8360999992,270.107322738498,39,39,1
sub102,learning,L14,random,high,491.169200002332,475.010609091028,12,12,1
sub102,learning,L14,random,low,580.422450000697,558.160158333976,13,13,1
sub102,learning,L14,regular,high,208.917949998977,248.406005728839,33,33,1
sub102,learning,L15,random,high,455.583800001477,462.004960256962,17,17,1
sub102,learning,L15,random,low,454.220799998439,458.427511110737,9,9,1
