sid,block_type,unitx,trial_type,frequency_type,rt.med,rt.mean,n,correctn,acc
sub101,learning,1,random,high,513.14524999907,540.753552235407,79,79,1
sub101,learning,1,random,low,491.576450000139,509.877994202975,53,53,1
sub101,learning,1,regular,high,471.492650001892,493.402863159926,193,193,1
sub101,learning,2,random,high,482.680749999418,488.560353257377,70,70,1
sub101,learning,2,random,low,467.847600000823,473.419253257844,59,59,1
sub101,learning,2,regular,high,397.925450000912,354.074635138685,163,163,1
sub101,learning,3,random,high,431.73289999686,452.186016893186,67,67,1
sub101,learning,3,random,low,455.778550000105,459.181742898564,70,70,1
sub101,learning,3,regular,high,421.137874998749,402.765581714554,178,178,1
sub101,learning,4,random,high,469.168550000177,468.12216984887,84,84,1
sub101,learning,4,random,low,486.239199999545,505.644743749483,55,55,1
sub101,learning,4,regular,high,428.432350003277,420.924135852825,187,187,1
sub101,testing,T,random,high,399.385600001551,408.356844565244,92,92,1
sub101,testing,T,random,low,376.626650002436,394.300231439571,52,52,1
sub101,testing,T,regular,high,363.915550000456,349.625333642187,184,184,1
sub102,learning,1,random,high,537.322475000565,546.12254983511,89,89,1
sub102,learning,1,random,low,538.305200000195,567.308718663942,52,52,1
sub102,learning,1,regular,high,454.232300000058,416.28634604778,182,182,1
sub102,learning,2,random,high,467.945025000063,488.616324391055,93,93,1
sub102,learning,2,random,low,467.850099999851,488.773808157657,48,48,1
sub102,learning,2,regular,high,253.71879999966,283.526160308201,186,186,1
sub102,learning,3,random,high,496.02705000143,509.787083370097,85,85,1
sub102,learning,3,random,low,522.200950000297,535.47194031399,54,54,1
sub102,learning,3,regular,high,240.736350000589,279.504091469793,166,166,1
sub102,learning,4,random,high,458.013200001005,486.62894341911,100,100,1
sub102,learning,4,random,low,457.342300001983,475.025958968573,43,43,1
sub102,learning,4,regular,high,174.79585000001,207.760315192952,125,125,1
sub102,testing,T,random,high,399.774100000286,408.955085057198,88,88,1
sub102,testing,T,random,low,390.554049999992,415.625842000021,56,56,1
sub102,testing,T,regular,high,362.319074999505,383.684083048959,181,181,1
sub103,learning,1,random,high,426.575649998995,426.392086111015,104,104,1
sub103,learning,1,random,low,429.180850000193,429.50256944451,44,44,1
sub103,learning,1,regular,high,398.893274998954,396.682533249614,193,193,1
sub103,learning,2,random,high,425.918750000164,430.381502002287,97,97,1
sub103,learning,2,random,low,422.271475000343,423.675022036817,49,49,1
sub103,learning,2,regular,high,382.445875000485,376.665111369935,193,193,1
sub103,learning,3,random,high,422.805199999857,428.568707645549,91,91,1
sub103,learning,3,random,low,438.619350001318,435.995617063478,53,53,1
sub103,learning,3,regular,high,399.30484999968,398.30896250829,190,190,1
sub103,learning,4,random,high,412.457949998498,411.039930123394,102,102,1
sub103,learning,4,random,low,424.42740000115,426.594718750399,35,35,1
sub103,learning,4,regular,high,403.608799999347,403.130754496407,194,194,1
sub103,testing,T,random,high,370.04750000051,369.245175678896,101,101,1
sub103,testing,T,random,low,344.160700002249,354.023990538934,44,44,1
sub103,testing,T,regular,high,330.652949999603,328.812623458835,188,188,1
sub104,learning,1,random,high,492.26884999996,506.711689696963,74,74,1
sub104,learning,1,random,low,479.204249999953,483.950727430549,64,64,1
sub104,learning,1,regular,high,465.501575000076,469.294410992702,191,191,1
sub104,learning,2,random,high,485.880749999978,494.891141920321,82,82,1
sub104,learning,2,random,low,489.667399999462,491.090993200034,58,58,1
sub104,learning,2,regular,high,457.081850000236,475.33998617019,182,182,1
sub104,learning,3,random,high,489.467399999739,491.174646376824,69,69,1
sub104,learning,3,random,low,513.536299999487,508.748625347159,61,61,1
sub104,learning,3,regular,high,479.353199999878,491.575504726218,180,180,1
sub104,learning,4,random,high,491.421800000353,500.597611594114,90,90,1
sub104,learning,4,random,low,469.009500000084,467.358648405814,55,55,1
sub104,learning,4,regular,high,470.463075000225,480.039182660933,193,193,1
sub104,testing,T,random,high,397.519799999827,406.763060144919,72,72,1
sub104,testing,T,random,low,378.309949999675,388.700291319482,56,56,1
sub104,testing,T,regular,high,364.715475000139,372.836484761933,186,186,1
sub105,learning,1,random,high,583.126524999898,594.290651281853,94,94,1
sub105,learning,1,random,low,591.293899997254,598.887722544258,42,42,1
sub105,learning,1,regular,high,556.13812500269,565.415188419052,189,189,1
sub105,learning,2,random,high,573.402325000643,576.088818846006,89,89,1
sub105,learning,2,random,low,597.246849996736,605.037279760966,56,56,1
sub105,learning,2,regular,high,547.26209999717,555.354390336139,191,191,1
sub105,learning,3,random,high,548.372800003563,559.3474288,90,90,1
sub105,learning,3,random,low,510.114149999936,546.869044999312,49,49,1
sub105,learning,3,regular,high,520.517725002719,518.138831449376,190,190,1
sub105,learning,4,random,high,540.134800001397,555.259114223856,89,89,1
sub105,learning,4,random,low,565.917300002184,580.637752450938,46,46,1
sub105,learning,4,regular,high,504.68062499931,506.543982381496,190,190,1
sub105,testing,T,random,high,428.463250002096,433.723382708552,91,91,1
sub105,testing,T,random,low,424.00120000093,422.364933730528,50,50,1
sub105,testing,T,regular,high,411.525424999127,414.439122761865,190,190,1
sub106,learning,1,random,high,471.45760001149,487.827124586401,88,88,1
sub106,learning,1,random,low,465.408525007661,490.098680835824,53,53,1
sub106,learning,1,regular,high,413.942750004935,408.312210008791,191,191,1
sub106,learning,2,random,high,468.182399985381,476.400693337049,101,101,1
sub106,learning,2,random,low,454.547399975127,451.270666172444,36,36,1
sub106,learning,2,regular,high,388.312499999302,380.805744690013,192,192,1
sub106,learning,3,random,high,443.287800007965,444.199264200349,91,91,1
sub106,learning,3,random,low,464.88600000157,474.301371755019,47,47,1
sub106,learning,3,regular,high,283.773449991713,295.637224817232,182,182,1
sub106,learning,4,random,high,462.615850003203,479.877011542936,92,92,1
sub106,learning,4,random,low,497.719900005905,519.935311483143,44,44,1
sub106,learning,4,regular,high,308.435700011614,323.382274944948,187,187,1
sub106,testing,T,random,high,362.430274995859,362.351562575461,98,98,1
sub106,testing,T,random,low,362.785475008423,378.212796760339,44,44,1
sub106,testing,T,regular,high,341.763775002619,341.440945724157,187,187,1
sub107,learning,1,random,high,535.211100010201,550.330876414888,95,95,1
sub107,learning,1,random,low,543.503549997695,546.198602319193,55,55,1
sub107,learning,1,regular,high,474.8006999871,482.180841130388,182,182,1
sub107,learning,2,random,high,510.836724977708,536.841110370879,100,100,1
sub107,learning,2,random,low,557.164099998772,552.369638983001,38,38,1
sub107,learning,2,regular,high,485.804649986676,490.560113838042,186,186,1
sub107,learning,3,random,high,523.882400011644,545.123967530284,88,88,1
sub107,learning,3,random,low,547.880300000543,572.847330646861,46,46,1
sub107,learning,3,regular,high,304.418500003521,338.802290015339,179,179,1
sub107,learning,4,random,high,541.5038500214,545.940687546573,104,104,1
sub107,learning,4,random,low,523.239899979672,522.876699011106,30,30,1
sub107,learning,4,regular,high,236.773649987299,277.304459645763,185,185,1
sub107,testing,T,random,high,364.989174966468,386.481513276974,97,97,1
sub107,testing,T,random,low,340.322450007079,354.664240239834,35,35,1
sub107,testing,T,regular,high,308.311500004493,273.233959801506,176,176,1
sub108,learning,1,random,high,599.200550001115,634.92715506617,92,92,1
sub108,learning,1,random,low,592.925324992393,616.628596755887,29,29,1
sub108,learning,1,regular,high,583.987049991265,611.124017287008,180,180,1
sub108,learning,2,random,high,579.687050005305,589.400967220382,82,82,1
sub108,learning,2,random,low,565.065224989667,587.701487962881,40,40,1
sub108,learning,2,regular,high,533.593949992792,559.015242787727,184,184,1
sub108,learning,3,random,high,560.982900002273,586.144431128906,86,86,1
sub108,learning,3,random,low,544.470500011812,547.405703428376,46,46,1
sub108,learning,3,regular,high,539.969325000129,548.609671798897,186,186,1
sub108,learning,4,random,high,546.053900005063,575.587245299552,93,93,1
sub108,learning,4,random,low,546.241549993283,564.742512274646,31,31,1
sub108,learning,4,regular,high,519.273450001492,530.981089754544,170,170,1
sub108,testing,T,random,high,400.988699984737,399.375859318613,82,82,1
sub108,testing,T,random,low,399.162549991161,400.19596518835,52,52,1
sub108,testing,T,regular,high,388.891599999624,385.678597937497,182,182,1
sub109,learning,1,random,high,564.784275004058,605.183866823346,93,93,1
sub109,learning,1,random,low,625.03779999679,634.394284468175,50,50,1
sub109,learning,1,regular,high,531.420375002199,549.345967476329,190,190,1
sub109,learning,2,random,high,504.322450011387,524.342069745115,90,90,1
sub109,learning,2,random,low,587.208375000046,578.645773182286,53,53,1
sub109,learning,2,regular,high,439.362574994448,459.431583415045,193,193,1
sub109,learning,3,random,high,493.775199982338,505.029930751485,97,97,1
sub109,learning,3,random,low,528.5423000023,541.196642462769,61,61,1
sub109,learning,3,regular,high,431.676624997635,442.765313120926,195,195,1
sub109,learning,4,random,high,482.092550002562,499.5693892302,99,99,1
sub109,learning,4,random,low,566.730550017383,588.582812667131,55,55,1
sub109,learning,4,regular,high,445.991924992995,440.302829840754,192,192,1
sub109,testing,T,random,high,373.530774988467,376.097570823247,90,90,1
sub109,testing,T,random,low,389.154450000206,390.54080833232,54,54,1
sub109,testing,T,regular,high,346.714025006804,357.380226481257,192,192,1
sub110,learning,1,random,high,475.838599995768,492.731455229981,95,95,1
sub110,learning,1,random,low,505.166449998797,527.014391202573,42,42,1
sub110,learning,1,regular,high,449.246275002224,465.243210976337,194,194,1
sub110,learning,2,random,high,465.268075000495,480.901834404774,96,96,1
sub110,learning,2,random,low,477.624099999957,486.508662631802,49,49,1
sub110,learning,2,regular,high,447.099250002793,454.608550853663,191,191,1
sub110,learning,3,random,high,475.780000000668,498.16034464273,113,113,1
